OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP,timestamp
2024-04-17,17,0,STATIN-L_7_N001,STATIN-L_7_N001,STATIN-L_7_N001,DAM,MCL,LMP_LOSS_PRC,STATIN-L_7_N001,ALL,1,-0.28905,9,2024-04-17 22:59:25.919365
2024-04-17,24,0,STATIN-L_7_N001,STATIN-L_7_N001,STATIN-L_7_N001,DAM,MCL,LMP_LOSS_PRC,STATIN-L_7_N001,ALL,1,1.45298,9,2024-04-17 22:59:25.919365
2024-04-17,19,0,STATIN-L_7_N001,STATIN-L_7_N001,STATIN-L_7_N001,DAM,MCL,LMP_LOSS_PRC,STATIN-L_7_N001,ALL,1,2.26985,9,2024-04-17 22:59:25.919365
2024-04-17,16,0,STATIN-L_7_N001,STATIN-L_7_N001,STATIN-L_7_N001,DAM,MCL,LMP_LOSS_PRC,STATIN-L_7_N001,ALL,1,-0.14336,9,2024-04-17 22:59:25.919365
2024-04-17,21,0,STATIN-L_7_N001,STATIN-L_7_N001,STATIN-L_7_N001,DAM,MCL,LMP_LOSS_PRC,STATIN-L_7_N001,ALL,1,2.8484,9,2024-04-17 22:59:25.919365
2024-04-17,23,0,STATIN-L_7_N001,STATIN-L_7_N001,STATIN-L_7_N001,DAM,MCL,LMP_LOSS_PRC,STATIN-L_7_N001,ALL,1,1.81486,9,2024-04-17 22:59:25.919365
2024-04-17,21,0,STATIN-L_7_N001,STATIN-L_7_N001,STATIN-L_7_N001,DAM,MGHG,LMP_GHG_PRC,STATIN-L_7_N001,ALL,1,0.0,10,2024-04-17 22:59:25.919365
2024-04-17,18,0,STATIN-L_7_N001,STATIN-L_7_N001,STATIN-L_7_N001,DAM,MGHG,LMP_GHG_PRC,STATIN-L_7_N001,ALL,1,0.0,10,2024-04-17 22:59:25.919365
2024-04-17,24,0,STATIN-L_7_N001,STATIN-L_7_N001,STATIN-L_7_N001,DAM,MGHG,LMP_GHG_PRC,STATIN-L_7_N001,ALL,1,0.0,10,2024-04-17 22:59:25.919365
2024-04-17,19,0,STATIN-L_7_N001,STATIN-L_7_N001,STATIN-L_7_N001,DAM,MGHG,LMP_GHG_PRC,STATIN-L_7_N001,ALL,1,0.0,10,2024-04-17 22:59:25.919365
2024-04-17,16,0,STATIN-L_7_N001,STATIN-L_7_N001,STATIN-L_7_N001,DAM,MGHG,LMP_GHG_PRC,STATIN-L_7_N001,ALL,1,0.0,10,2024-04-17 22:59:25.919365
